time,connected,download,upload,ping,server
2020-03-17 13:04:05,True,54371048.587543115,11555940.123192187,42.945,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 14:45:30,True,36463849.04322819,3517895.459652902,41.767,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 14:47:55,True,59835416.13408597,12199757.39006171,37.21,http://warp.cronon.net:8080/speedtest/upload.php
2020-03-17 14:50:20,True,61123506.305656336,11116332.228105731,36.043,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 14:52:45,True,54848242.93788807,11812059.900773294,35.735,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 14:55:10,True,58179018.86350762,13306486.853244279,36.726,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 14:57:34,True,64122624.91893446,12123158.09318704,37.111,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 14:59:59,True,55374472.08356033,11926409.36477883,36.79,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:02:24,True,57765468.022934996,12202484.352069093,36.888,http://warp.cronon.net:8080/speedtest/upload.php
2020-03-17 15:04:48,True,56330875.92858006,11976533.721800074,35.816,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 15:07:12,True,57027146.5658559,7634436.42189338,35.334,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:09:36,True,58946272.53762991,9627498.627826951,35.651,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 15:12:01,True,47911378.48701564,8024656.539364409,35.447,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:14:25,True,49282318.10139148,12078397.08926287,36.748,http://warp.cronon.net:8080/speedtest/upload.php
2020-03-17 15:16:49,True,58178505.670970716,10105297.830840128,36.89,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:19:14,True,57426853.78953315,11264568.122869587,36.1,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 15:21:39,True,46902630.237537265,12760309.763088938,35.621,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:24:02,True,55797086.077862814,11478921.887122592,37.054,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:26:27,True,55861700.31943242,13507302.203898808,36.18,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 15:28:50,True,50285611.85855909,11607148.080676291,38.395,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:31:15,True,54786110.81334994,11808995.310799029,36.486,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 15:33:40,True,58634032.37046689,12119404.042483326,41.025,http://warp.cronon.net:8080/speedtest/upload.php
2020-03-17 15:36:06,True,49599638.59080635,9329212.28050799,37.879,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 15:38:30,True,57528324.06179085,11813068.315188143,36.616,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 18:50:25,True,58221412.352691054,10841123.690510718,40.134,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 19:22:03,True,40674523.06746698,10457364.883488487,43.052,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 19:25:52,True,57684953.29422913,11579723.773804627,38.69,http://speedtest-berlin.colocationix.de:8080/speedtest/upload.php
2020-03-17 19:28:32,True,57870700.700000346,11695509.410690533,40.642,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 19:30:06,True,61289465.835390724,10503536.99627024,41.182,http://speedtest01.dns-net.de:8080/speedtest/upload.php
2020-03-17 19:31:58,True,61916613.11215767,11618735.670150302,38.982,http://speedtest01.dns-net.de:8080/speedtest/upload.php
